Timestamp,Age,Rate the overall immersiveness of Nature's Discovery,Rate the overall engagement level of Nature's Discovery,Rate the overall immersiveness of Data Dive,Rate the overall engagement level of Data Dive,Rate the overall immersiveness of Newton's Playground,Rate the overall engagement level of Newton's Playground
5/24/2024 8:33:36,57,4,4,4,5,4,5
5/24/2024 10:37:54,20,5,4,4,5,4,4
5/24/2024 10:47:45,20,4,4,2,2,4,4
5/24/2024 10:53:29,25,4,4,4,4,5,5
5/24/2024 10:56:22,20,3,3,4,4,5,5
5/24/2024 11:26:23,53,3,3,3,3,3,3
5/24/2024 11:36:44,23,4,3,3,4,5,5
5/24/2024 12:46:16,28,4,2,2,2,3,3
5/25/2024 9:15:10,21,4,4,4,5,4,5
5/25/2024 9:30:39,21,4,4,3,3,5,5
5/25/2024 9:43:18,21,3,3,4,4,4,3
5/25/2024 10:54:45,21,4,4,4,4,5,5
5/25/2024 16:46:12,21,4,3,5,5,5,4
5/25/2024 22:40:29,21,4,5,4,4,5,4
5/26/2024 9:04:46,21,4,4,4,4,5,5
5/26/2024 19:21:17,22,5,5,5,5,5,5
