Text,Subject
taking steps to prevent problems is the basis for proactive gardening i had a meeting recently in which i was describing why my garden had been doing so well in spite of the very strange weather and conditions experienced this season conditions perfect for all types of pests and diseases as i listed my reasons why he chimed in thats the difference between proactive and reactive gardening the concept made instant sense and its one ive practiced for years i had just never put it into such practical logical terms before the steps i had taken to ensure a healthy garden were all in an effort to prevent future problems just as a person might take care of themselves with diet exercise and vitamins i credit this proactive practice to knowing the benefits of starting off with a healthy garden and maintaining vigilance along the way there are certainly plenty of chemicals that can be applied after the fact that in many cases solve pest problems or control plant diseases but at what price as i went on to share some of the steps in my proactive gardening practice i discussed the following examples start with great soil ive been accused of having tv soil in my garden set of fresh from the garden and its true my soil is close to dream soil and thats by design my plants must not only survive they must thrive i know that my best chance of making that happen is to provide the best growing environment the focus is to create the best structure and drainage possible and fill the growing beds with plenty of compost and manure keep the garden clean the only thing i want to see growing in my garden are the plants i intended to to be there this means ive always got an eye towards the ground scouting for weeds they dont stay around long in my garden weeds are a haven for disease carrying pests if any plant material does start to shed a leaf or two or a plant shows early signs of a disease problem i either remove the infected material or in some cases the entire plant control water as vital as water is to the life of the garden it can also be responsible for its demise water is a major facilitator of the spread of plant disease at and above the soil line by minimizing the amount of moisture staying on the plants you minimize the chance of water spreading disease to the plants this is accomplished by using drip irrigation systems whenever possible to keep water off of foliage another technique is to water early in the day so foliage has time to dry out and dont over water consider watering on an asneeded basis or use a water timer to ensure plants are getting enough water if you are away for an extended period mulch the benefits of mulch are clearly visible in the garden for example i have beds where i started to mulch but didnt finish for some reason the plants that were mulched are always larger fuller and weeks ahead of the same plants in the unmulched portion mulch also helps keep soilborne diseases from splashing onto plant foliage keeps soil temperatures even weeds from germinating and creates a healthier environment for plants to grow mulch is also a great way to improve the soil by incorporating it into your beds at the end of the growing season inspect a key step in maintaining a healthy garden is constant vigilance in observing daytoday changes this does not mean that you are required to spend every day in the garden although i recommend it it simply means pay attention to whats going on the earlier you are able to detect adverse changes the less severe your reaction needs to be anticipate when i spray a chemical in the garden it is to prevent plant disease or promote the health and defense mechanisms in plants once plant diseases find their way into your garden they can be difficult to control at best many fungal and bacterial diseases can be prevented by spraying plants with a baking soda mixture or a coppersulfur based solution every week or so while the plant is growing however it is important to note this should be done before disease becomes apparent another tactic i use is to spray vegetable plants with a special harpin protein every couple of weeks during their active growth period this protein marketed as messenger has been found to increase the immune and disease fighting resistance in many plants studies as well as personal observation seem to indicate healthier bushier plants and higher yields because harpin protein is naturally occurring in plants nontoxic and completely safe to use i like the results i am seeing and i feel comfortable using it if all of this sounds a lot like ipm integrated pest management id say youre right there are a lot of similarities this explains why i like ipm so much aside from the similarities proactive gardening seems to sound much more gardenesque dont you think about joe lampljoe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter i had a meeting recently in which i was describing why my garden had been doing so well in spite of the very strange weather and conditions experienced this season conditions perfect for all types of pests and diseases as i listed my reasons why he chimed in thats the difference between proactive and reactive gardening the concept made instant sense and its one ive practiced for years i had just never put it into such practical logical terms before the steps i had taken to ensure a healthy garden were all in an effort to prevent future problems just as a person might take care of themselves with diet exercise and vitamins i credit this proactive practice to knowing the benefits of starting off with a healthy garden and maintaining vigilance along the way there are certainly plenty of chemicals that can be applied after the fact that in many cases solve pest problems or control plant diseases but at what price as i went on to share some of the steps in my proactive gardening practice i discussed the following examples start with great soil ive been accused of having tv soil in my garden set of fresh from the garden and its true my soil is close to dream soil and thats by design my plants must not only survive they must thrive i know that my best chance of making that happen is to provide the best growing environment the focus is to create the best structure and drainage possible and fill the growing beds with plenty of compost and manure keep the garden clean the only thing i want to see growing in my garden are the plants i intended to to be there this means ive always got an eye towards the ground scouting for weeds they dont stay around long in my garden weeds are a haven for disease carrying pests if any plant material does start to shed a leaf or two or a plant shows early signs of a disease problem i either remove the infected material or in some cases the entire plant control water as vital as water is to the life of the garden it can also be responsible for its demise water is a major facilitator of the spread of plant disease at and above the soil line by minimizing the amount of moisture staying on the plants you minimize the chance of water spreading disease to the plants this is accomplished by using drip irrigation systems whenever possible to keep water off of foliage another technique is to water early in the day so foliage has time to dry out and dont over water consider watering on an asneeded basis or use a water timer to ensure plants are getting enough water if you are away for an extended period mulch the benefits of mulch are clearly visible in the garden for example i have beds where i started to mulch but didnt finish for some reason the plants that were mulched are always larger fuller and weeks ahead of the same plants in the unmulched portion mulch also helps keep soilborne diseases from splashing onto plant foliage keeps soil temperatures even weeds from germinating and creates a healthier environment for plants to grow mulch is also a great way to improve the soil by incorporating it into your beds at the end of the growing season inspect a key step in maintaining a healthy garden is constant vigilance in observing daytoday changes this does not mean that you are required to spend every day in the garden although i recommend it it simply means pay attention to whats going on the earlier you are able to detect adverse changes the less severe your reaction needs to be anticipate when i spray a chemical in the garden it is to prevent plant disease or promote the health and defense mechanisms in plants once plant diseases find their way into your garden they can be difficult to control at best many fungal and bacterial diseases can be prevented by spraying plants with a baking soda mixture or a coppersulfur based solution every week or so while the plant is growing however it is important to note this should be done before disease becomes apparent another tactic i use is to spray vegetable plants with a special harpin protein every couple of weeks during their active growth period this protein marketed as messenger has been found to increase the immune and disease fighting resistance in many plants studies as well as personal observation seem to indicate healthier bushier plants and higher yields because harpin protein is naturally occurring in plants nontoxic and completely safe to use i like the results i am seeing and i feel comfortable using it if all of this sounds a lot like ipm integrated pest management id say youre right there are a lot of similarities this explains why i like ipm so much aside from the similarities proactive gardening seems to sound much more gardenesque dont you think about joe lampljoe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter joe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter,Gardening
almost any plant problem can be rectified by obtaining a soil sample report from your extension service whenever im diagnosing a plant problem on the radio or facetoface my first question is usually have you done a soil test the answer is almost always no which is a shame because many plant problems can be easily rectified if one only knew the condition of their soil for starters you must know the ph of the soil the ph is a relative range from 0 14 which measures the acidity or alkalinity a reading below 70 indicates an acidic soil while readings above 70 are alkaline most plants grow best in a range of 60 70 next you should understand why a soil analysis is important to having a healthy lawn and garden in order for plants to thrive they need certain levels of nutrients many of these are found naturally in the native soil however there are major and minor as well as micronutrients that are all used by plants in various quantities the soil analysis will tell you the levels of these nutrients found in your soil knowing the ph and nutrient levels are both important you can have the perfect balance of nutrients but if the ph level is outside the range of preference for what you are growing many of the nutrients will be unavailable because the plants will not be able to absorb them conversely if you have the perfect ph but lack the appropriate nutrients your plants will perform below their potential soil tests are available from a number of sources you can purchase kits from a garden center online or through mail order sources however none compare in quality or accuracy to the results you get through your county extension service for the money the best value comes from these a soil analysis conducted by the extension service is more comprehensive as well the report includes a reading of the soil ph and measures the major and minor nutrient levels one of the best features of this report is that it also provides the suggested amounts and type of nutrients to add to your existing soil to bring into optimal levels for growing the plants or crops you have specified joe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter,Gardening
roots are a good indication of the health of a plant spring fever will strike at any moment are you ready for it you can be if you follow a few simple guidelines as you head out to the nursery for that next big purchase bringing home healthy disease free plants will make your garden look better and make your gardening experience more enjoyable most plant buyers cannot overcome the urge to purchase plants that are in full bloom in the nursery who can resist the temptation to bring home the most beautiful plants you and me i hope plants already in bloom require a lot of energy to sustain those blooms next time choose plants that have flower buds but are not yet in bloom this way you can get the plants in the ground and allow time for the roots to establish a bit first even better pinch off the flower blooms completely when you plant theyll come back and the roots will receive the plants energy resulting in more established plants that look even better first check the roots if it is a woody ornamental tree or shrub dont be afraid to pull it from its container healthy plants will have roots that are light in color they will appear evenly distributed without looking crammed stay clear of plants that have dark roots or ones that have roots that spiral around the inside of the container these plants are pot bound and may have a difficult time establishing in the landscape inspect each plant for signs of pests as many hide on the underside of the leaves look closely as you might miss them at first glance you might have a clue of their presence if you see leaf stippling small black flecks or a sticky residue especially on the underside avoid purchasing plants that appear to be leggy or stretched these plants have been growing in light that was insufficient for their needs although they may recover they have been stressed your goal for a great looking plant long term is to purchase plants that have not been under any apparent stress foliage that is abnormally light may be a good indication that the plant was over or under watered these extremes exhibit similar symptoms either case is undesirable and adds additional stress to the plant another good way to reduce plant damage caused by diseases is to purchase plant varieties that are disease resistant this does not ensure that plants will be immune from any particular disease but it does indicate that the plant displays characteristics which minimize the impact of a certain disease these plants have a genetic ability to resist significant damage to a certain disease or pathogen be sure to recognize that resistant doesnt mean immune what qualifies the plant to be considered resistant is the relatively small degree of impact that a certain pathogen has on that particular plant variety the best way to know if you are buying a disease resistant variety is to do your homework the internet books newsletters magazines and your county extension service are all good sources your local county extension service is also a great source for information and is specific to your area and zone the best way to keep unhealthy plants out of your garden is to leave your emotions at home next time you head for the garden center apply tough love when shopping for plants in the long run youll be glad you did joe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter,Gardening
all turf grasses share some common maintenance characteristics id like to start this article by sharing the common characteristics and needs of all turf grasses for this time of year in the southeast irrigation in the absence of rainfall your lawn should get about one inch of water per week however you wont know how long it takes for you to deliver that amount of water until you test this for yourself get out some tuna cans etc to see how long it takes to fill the cans this is an inch be sure to place several cans around as irrigation systems are often inconsistent from one zone to the next assuming no runoff irrigate your lawn ideally once per week for the amount of time determined above deep watering less frequently ie one inch once per week encourages deep root growth and better drought tolerance mowing when mowing your lawn never remove more than one third of the grass blade if possible this helps reduce the risk of disease and pest damage as well as thatch buildup dont be afraid to grasscycle that is mulching your clippings directly back into your lawn rather than bagging them youll be returning up to one third of the needed nitrogen of your turf thereby reducing the amount of additional fertilizer required you also wont be increasing the risk of thatch if you are cutting one third or less of the grass blade each time you mow just be sure that you are not leaving behind visible clumps of grass clippings as this will potentially damage your lawn in this event a second pass with the mower should eliminate any turf residue consider changing the pattern of your cuts each time if you cut north and south one time try cutting east and west the next continuous cutting in the same direction can eventually result in unnecessary soil compaction due to the weight of the mower over repeated mowings disease many of us have already and will continue to battle turf diseases in our lawns this summer brown patch the most common turf disease to georgia lawns will certainly be prominent this season its identified by circular patterns of brownish grass ranging in size from several inches to several feet the conditions for brown patch to emerge are warm temperatures above 70 degrees and high humidity excessive nitrogen fertilization in spring also tends to increase the occurrence and magnitude of the problem treat this and other fungal turf diseases with a fungicide application at the suggested rate on the product label a granular or liquid spray treatment can be effective in controlling the existing problem however throughout the hotter months you may have to apply multiple treatments every two to three weeks to keep the problem in control and to prevent it from spreading weeds there are many varieties of weeds that begin appearing as the temperatures heat up and to many the biggest thug of lawn weeds in the summer is crabgrass a spring application of preemergent works well in treating this and other summer annuals weeds however if you missed that spring treatment you can still treat crabgrass and other weeds with a postemergent weed control these products are targeted to kill weeds after they germinate however be sure to read the label some weed killers are effective on broadleaf weeds only like spotted spurge and dichondra others treat grassy weeds only such as crabgrass and goosegrass so know what youre buying and what youre trying to control also be careful when you apply these products some will burn your turf if applied when temperatures are too high again reading the label entirely will save a lot of potential aggravation fertilization fescue lawns should not be fertilized after may and not again until fall however warm season grasses bermuda zoysia and st augustine should receive a june and august application according to your soil test report you did do one in the spring didnt you bermuda and st augustine can also receive a july fertilization centipede lawns should get their only summer application in july the only other time to fertilize centipede is may hence the nickname lazy mans grass sodding sprigging and aerating the best time of year to sod sprig or aerate a lawn is in the season of active growth for warm season grasses that would be now for fescue the cool season grass spring or fall is the ideal time to aerate or lay sod about joe lampljoe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter joe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter,Gardening
good sanitation is the key to controlling camellia petal blight it is not unusual for a camellia shrub to produce more flowers than it can open consequently many buds fail to mature and fall to the grown other flowers that make it to full bloom are often brown or show signs of cold damage however buds damaged by cold weather usually only show browning around the petal edges another cause of unsightly buds and blooms is far more serious camellia petal blight is a fungal disease that can move quickly youll know a plant is infected by this if there is browning around the edge of the flower that quickly moves to the center usually within 24 hours the entire flower will become brown and leathery and will fall from the plant a hallmark sign of this disease is dark brown veins within the lighter brown petal it is most common when conditions have been mild during bloom and humidity has been high due to frequent rain showers once a plant is infected with this disease it is difficult to control the best bet is to remove and destroy all leaves buds and petals from that have fallen to the ground be sure to follow up with a fresh layer of mulch 23 inches thick this helps create a barrier that will inhibit the spread of the spores that cause the fungus the fungus that causes the petal blight persists in the soil so it is important that you repeat this process every year in early spring as an added measure of control a fungicide soil drench and foliar sprays can be used but only when in addition to the sanitation measures listed above when applying the soil drench be sure to soak the entire fall line and beyond this can be 10 feet or more in some cases start applying the drench several weeks before the buds begin to open and repeat the process every three weeks until all buds have fallen fortunately the blight only attacks the flowers so it is not necessary to treat beyond the removal of the last debris however you should repeat these control methods for five years to ensure the problem has been eliminated joe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter,Gardening
slime mold looks more noxious than it is things are not always as bad as they seem so is the case with slime mold in this example embedded within a stand of silver dragon liriope as nasty as it looks slime mold is rarely a problem slime molds are commonly found on ornamental plantings lawns mulches and just about anywhere in the home landscape they are most often observed during warm wet conditions they can appear in a multitude of colors as well including white yellow orange red brown or any shade in between as bad as slime mold looks it is harmless to plants and turf the mold feeds on bacteria fungus and decaying organic material the most damage you may see is a slight yellowing of the leaf or blade area due to the mold blocking the surface from getting light no treatment is necessary if the unsightliness is bothersome then rake out the mold or spray it off with a stiff stream of water however it will usually turn black and disintegrate on its own within a few days joe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter,Gardening
following a few simple guidelines will help reduce problems in your garden as they say an ounce of preventionyou know the rest but it is true in gardens there are certain problems that are beyond our control when it comes to plant diseases however there are more ways than you may realize to prevent or at least reduce the chance of diseases affecting your plants plant diseases can be bacterial fungal or viral all can enter your garden through a number of different ways and many times it can be difficult to diagnose what the disease might be if it even is a disease many symptoms appear similar from viral to bacterial to fungal even insect damage and cultural practices can show similar signs first create the best growing environment you can for your plants this includes putting the right plants in the right place the soil should be loamy and well amended with plenty of organic matter namely compost a healthy vigorous plant is better able to resist infection if location location location is the key to the best real estate than sanitation sanitation sanitation is the key to a healthy garden start with keeping any new diseased plants out of your garden you do this buy inspecting all plants you are considering for purchase to be sure you dont see any obvious signs or problems or buy certified diseasefree plants whenever possible next buy plants that are resistant to various diseases this is common with hybrid vegetable plants for example so if you like the choices this is a good option always keep your garden free of weeds besides the obvious fact of being unsightly weeds provide haven for certain pests which are disease carriers once they begin feeding on other plants in your garden they can spread disease to them as well this goes for general plant debris as well this should be removed as soon as possible so as not to provide habitats for pests or other plant diseases that finds rotting debris to be a hospitable host if you suspect this debris to already be diseased you should not add this to the compost pile rather this should be removed from the garden and disposed of elsewhere adding diseased plant material to your compost pile can potentially survive the composting process only to emerge again within finished compost people and tools commonly spread disease from plant to plant keep tools like pruners disinfected a simple solution of 10 bleach with 90 water is an effective remedy spray your tools often especially pruners and always after making a cut to a diseased plant avoid working around plants when the foliage is wet many plant diseases are spread through water and for this reason mulch your plants whenever possible mulch provides several benefits one is to provide a protective barrier between the soil and foliage many plants fall victim to soil born diseases caused when water splashes up from the soil onto the foliage mulch is an effective tool in reducing soil related diseases when it comes to watering there are a few important rules to remember avoid wetting the foliage and water early in the morning if possible watering early in the day gives the foliage a chance to dry out by midday the longer foliage stays wet the greater the chances of disease taking hold better yet use drip irrigation as a way to minimize the risk of water transferring disease onto your plants from the soil finally provide good air circulation between plants air movement keeps some diseases from sticking around long enough to take hold and allows plants to dry out more quickly in spite of our best efforts gardens will still get diseases there is no way to prevent them all however if youll apply the above practices you will greatly reduce the amount of problems youll encounter about joe lampljoe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter joe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter,Gardening
leafhoppers are the most common source of aster yellows an email arrived recently with several accompanying pictures it was a simple question can you describe what my echinacea purple coneflower is up to and how to prevent it in the future the pictures documented a classic display of the symptoms of aster yellows purple coneflowers display some of the most dramatic evidence of this nonfatal but potentially prolific disease secondary flower heads emerging from primary flowers can be a common sight however aster yellows is a disease that affects over 300 species of plants including herbaceous ornamentals vegetables and even weeds infected plants can serve as the starting place for the spread to other noninfected plants the source of the problem is a bacterialike microscopic organism known as a phytoplasma a tiny insect known as a leafhopper most commonly spreads it as the leafhopper feeds on infected plants it is taking in this phytoplasma through the plant sap once inside the insects body the disease organisms multiply rapidly eventually the phytoplasma is then reintroduced as the leafhopper feeds on healthy plants symptoms of aster yellows develop most quickly and are more severe when temperatures are warm in cooler temperatures plants may be infected without any visible indication unique symptoms also vary between plant types symptoms common to most infected plants include yellow foliage stunted growth flowers that remain on the green side and an overall distorted look controlling aster yellows is challenging there is no known cure for the disease and chemical control of the vectoring leafhopper is usually not effective and therefore not recommended the best means of control for this problem as well as many other garden diseases is good sanitation remove and destroy any infected plants you see immediately this includes all weeds since they can be a common host source for this disease lastly not all plants are susceptible to the disease most woody shrubs seem to avoid the problem as well as a few herbaceous plants such as salvia geraniums and impatiens choosing resistant plants and removal of infected plants are the best control methods for controlling aster yellows in the home landscape joe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter,Gardening
avoid prolonged dampness on plant leaves to avoid disease problems disease control can be a challenge in any garden it helps to have a general understanding of them and how they can best be prevented the primary types of plant diseases are viral bacterial and fungal viruses usually occur on new growth bacterial or fungal infections usually occur on older leaves some symptoms are stunted growth spots on leaves rotten fruit or wilting all three diseases are more active during times of high humidity or light steady rain plant foliage never completely dries during these periods this creates a perfect environment for disease to take hold nematodes are also included in the disease group these very small wormlike creatures feed on roots they can stunt growth and cause extensive damage if not controlled however there are many different types of nematodes some of which are actually beneficial to help thwart diseases keep your plants healthy a healthy plant is naturally diseaseresistant fertilize and water regularly but avoid getting water directly on the leaves soaker hoses are an ideal way to help keep foliage dry while watering also you may want to consider growing diseaseresistant varieties all gardeners know that mulch helps conserve water and keeps roots cooler but be sure to use clean mulch do not reuse mulch from season to season as diseases as well as pests can winterover also do not compost any diseased plants as you are likely to recycle the disease right back into your garden in addition to using clean mulch keep your garden clean promptly remove dead or dying plants its also a good idea to thin any thick foliage so that your plants receive adequate air circulation trellis as many crops as you can keeping fruit and vegetation off the ground helps prevent rot and keeps plants dry rotate your crops it is a good idea to plant vegetables in the same family in a different location each season for example avoid planting nightshades such as tomatoes in the same bed that potatoes were recently grown this helps break the reproductive cycle of the disease and helps prevent the depletion of nutrients in the soil another way to keep plants healthy is to make sure your soil has good drainage soggy soil will cause root rot and will allow diseases to flourish an excellent way to create good drainage is to grow your vegetables in raised beds and to use organic amendments such as manure or compost nematode populations can be discouraged by keeping your soil rich in organic matter once a fungal bacterial or viral infection appears it can be treated organically with copper or sulfurbased compounds regular applications are critical to successful control sometimes it helps to be proactive i live in the humid south where diseases can set in overnight and run quickly through the garden to keep tough diseases such as bean rust under control i start spraying with a copperbased compound early in the season before the rust appears all in all the very best way to control plant diseases is by being attentive while it is not practical to expect a totally diseasefree garden you can keep problems to a minimum by following these tips ann myers joe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter,Gardening
misuse of deicers can cause excessive build up of salts in the soil much like synthetic fertilizers sometimes its not an easy choice between our safety and the safety of our plants and soil if i lived alone id give the nod to the latter but i must be prudent to protect my family and guests from winter perils namely an icy slick sidewalk or driveway if you live in an area where this can be a problem you know that deicers are a common way to eliminate it but too often we dont use deicers properly their job is to loosen ice from below making it easier to shovel or plow not remove ice completely so why would i discuss deicers in a gardening article because improper or over use of deicers is detrimental to plant life and the environment most deicers are chemicals containing high concentrations of salt excess salts build up in the soil just as with the overuse of chemical fertilizers they impede the uptake of moisture and nutrients others cause leaching of heavy metals which eventually make their way to water supplies although you may not see the damage to plants under a blanket of snow you will by spring symptoms include stunted growth wilting desiccation and burned leaf tips or margins it can also cause permanent root damage the following list includes some of the most common ingredients used to battle ice and snow each winter sodium chloride commonly known as rock salt may be the product we are most familiar with since it has been the most often used deicer since the 1940s millions of tons are used yearly on roads in the united states and canada calcium chloride is produced in flakes pellets and as a liquid it is sometimes sprayed over rock salt to lower its melting temperature which further increases plant and soil exposure to salt damage even though it is considered to be practically nontoxic to aquatic life it does increase algae growth which poses a problem for our waterways potassium chloride occurs naturally in the mineral form of sylvite and can also be extracted from salt water ok thats a cluemore salt it is also used as a fertilizer muriate of potash and as a salt substitute these chloride salts although common choices present their own set of problems as a group they are corrosive to metal and concrete damaging to plant material a harmful skin irritant and potentially lethal to pets please be sure to read the label before purchasing some people broadcast common household fertilizer like 101010 onto the ice thinking they are feeding their plants and lawn while providing a more benign solution its not synthetic fertilizer can have a lot of salt plus nitrogen and phosphorus excessive runoff of these materials is capable of harming our lakes and streams ecofriendly alternatives covering key areas with plastic before a storm and removing it before it has a chance to freeze in place is a good preventative measure that is certainly a more environmentally sensitive option spreading sand or gravel over slick spots will not melt the ice or snow but offers some traction considering that pets are a part of the equation too the choice to opt for saltfree alternatives provides for their safety as well salt buildup from deicers accumulates on an animals paws and coat causing mild to fatal illnesses as they attempt to lick themselves clean one alternative saltfree deicer i found during my research is guaranteed not to be harmful to humans pets or the environment it is trademarked under the name of safe paw another option being tested is calcium magnesium acetate cma made from dolomitic limestone and acetic acid which we know as vinegar this saltfree melting agent is being studied as a substitute in environmentally sensitive areas although it is expensive so far research has shown that it is noncorrosive and there is little impact on plants or animals so while it may be necessary to use melting agents at times it doesnt seem to me we should risk harming our pets soil or the water supply in the process of melting a small amount of it any more than we have to finding saltfree and more pet and ecofriendly alternatives is a good choice joe lampl is the host and executive producer of the award winning pbs television series growing a greener world off camera joe dedicates his time to promoting sustainability through his popular books blog podcast series and nationally syndicated newspaper columns follow joe on twitter,Gardening
